reason,global_id,novel_id,episode_id,operation,similarity,raw_block_count,final_block_count,raw_indices,final_indices,raw_text,final_text,timing_shift_start_sec,timing_shift_end_sec
very_large_timing_shift,novela001__episode_0001,novela001,episode_0001,retime,1.0,1,1,[1],[1],Nós somos os três lobisomens mais fortes!,Nós somos os três lobisomens mais fortes!,9.966,0.0
delete_text_very_long_review,novela001__episode_0001,novela001,episode_0001,delete_text,0.0,1,0,[75],[],O Harry voltar pra Alcateia vai virar o mundo dos lobisomens de cabeça pra baixo.,,,
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,retime,1.0,1,1,[1],[1],Nenhum cristal sequer acendeu.,Nenhum cristal sequer acendeu.,8.6,8.622
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,merge,1.0,2,1,"[5, 6]",[2],Que palhaço! Uma piada!,"que palhaço, uma piada!",8.444,7.975
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,retime,1.0,1,1,[10],[4],Eu sou mesmo tão fraco assim?,"Eu sou mesmo, tão fraco assim?",8.864,7.997
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,retime,1.0,1,1,[11],[5],A bola de cristal nem respondeu.,A bola de cristal nem respondeu.,8.175,7.708
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,retime,1.0,1,1,[12],[6],Você é o pior candidato.,Você é o pior candidato.,8.086,8.019
very_large_timing_shift,novela001__episode_0004,novela001,episode_0004,retime,1.0,1,1,[14],[7],Cai fora!,Cai fora!,8.463,8.463
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,split,1.0,1,2,[30],"[35, 36]",Um gênio sem precedentes apareceu no exame de entrada.,Um gênio sem precedentes apareceu no exame de entrada.,8.864,8.902
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,split,1.0,1,2,[31],"[37, 38]",A parte da minha alma que estava nas bolas de cristal foi destruída.,A parte da minha alma que estava nas bolas de cristal foi destruída.,8.927,9.571
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,retime,1.0,1,1,[32],[39],Quantas foram destruídas?,Quantas foram destruídas?,9.597,8.973
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,retime,1.0,1,1,[33],[40],Todas.,Todas.,8.998,7.978
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,retime,1.0,1,1,[34],[41],O quê?,O quê?,9.109,7.886
very_large_timing_shift,novela001__episode_0005,novela001,episode_0005,retime,1.0,1,1,[35],[42],Como isso é possível?,Como isso é possível?,8.46,7.822
very_large_timing_shift,novela001__episode_0007,novela001,episode_0007,retime,1.0,1,1,[1],[1],Caraca! Gandalf!,Caraca! Gandalf!,9.746,9.5
