global_id,novel_id,episode_id,raw_indices,final_indices,raw_start,raw_end,final_start,final_end,raw_start_sec,raw_end_sec,final_start_sec,final_end_sec,raw_text,final_text,similarity,operation,raw_block_count,final_block_count,timing_shift_start_sec,timing_shift_end_sec,style,language
novela001__episode_0001,novela001,episode_0001,[1],[1],"00:00:30,000","00:00:42,639","00:00:39,966","00:00:42,639",30.0,42.639,39.966,42.639,Nós somos os três lobisomens mais fortes!,Nós somos os três lobisomens mais fortes!,1.0,retime,1,1,9.966,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[2],"[2, 3]","00:00:42,639","00:00:46,279","00:00:42,639","00:00:46,279",42.639,46.279,42.639,46.279,A gente consegue destruir exércitos inteiros num estalar de dedos!,A gente consegue destruir exércitos inteiros num estalar de dedos!,1.0,split,1,2,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[3],[4],"00:00:46,279","00:00:47,799","00:00:46,279","00:00:47,799",46.279,47.799,46.279,47.799,"A gente nem é ranho, Rei Vampiro!","A gente nem é ranho, Rei Vampiro!",1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[4],"[5, 6]","00:00:47,799","00:00:50,919","00:00:47,799","00:00:50,919",47.799,50.919,47.799,50.919,"Se ele vencer, toda a raça de lobos vai virar cinza!","Se ele vencer, toda a raça de lobos vai virar cinza!",1.0,split,1,2,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[5],[7],"00:00:50,919","00:00:53,919","00:00:50,944","00:00:53,735",50.919,53.919,50.944,53.735,"Ninguém consegue derrotar ele, a não ser...","Ninguém consegue derrotar ele, a não ser...",1.0,retime,1,1,0.025,-0.184,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[6],"[8, 9]","00:00:53,919","00:00:58,319","00:00:54,110","00:00:57,763",53.919,58.319,54.11,57.763,Que encontremos o salvador escolhido pela deusa da lua!,Que encontremos o salvador escolhido pela deusa da lua!,1.0,split,1,2,0.191,-0.556,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[7],[10],"00:00:58,319","00:00:59,319","00:00:58,067","00:00:59,774",58.319,59.319,58.067,59.774,A profecia!,A profecia!,1.0,retime,1,1,-0.252,0.455,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[8],[11],"00:00:59,319","00:01:01,799","00:00:59,987","00:01:01,560",59.319,61.799,59.987,61.56,Tá vendo aquele vampiro ali embaixo?,Tá vendo aquele vampiro ali embaixo?,1.0,retime,1,1,0.668,-0.239,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[9],[12],"00:01:01,799","00:01:04,559","00:01:01,627","00:01:04,414",61.799,64.559,61.627,64.414,"Ele é fraco, mas já serve como treino.","Ele é fraco, mas já serve como treino.",1.0,retime,1,1,-0.172,-0.145,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[10],[13],"00:01:04,559","00:01:06,160","00:01:04,546","00:01:06,254",64.559,66.16,64.546,66.254,Dá conta daquele palestra de vampiro?,Dá conta daquele palestra de vampiro?,1.0,keep,1,1,-0.013,0.094,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[11],[14],"00:01:06,160","00:01:07,639","00:01:06,294","00:01:07,639",66.16,67.639,66.294,67.639,Essa é sua tarefa de hoje.,Essa é sua tarefa de hoje.,1.0,retime,1,1,0.134,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[12],[15],"00:01:07,639","00:01:09,239","00:01:07,639","00:01:09,239",67.639,69.239,67.639,69.239,Tem certeza que ele é fraco?,Tem certeza que ele é fraco?,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[13],[16],"00:01:09,239","00:01:10,839","00:01:09,239","00:01:10,839",69.239,70.839,69.239,70.839,Parece que eles não tão dando conta dele.,Parece que eles não tão dando conta dele.,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[14],[17],"00:01:10,839","00:01:12,120","00:01:10,839","00:01:11,917",70.839,72.12,70.839,71.917,Esquece eles!,Esquece eles!,1.0,retime,1,1,0.0,-0.203,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[15],[18],"00:01:12,120","00:01:13,279","00:01:11,984","00:01:13,279",72.12,73.279,71.984,73.279,Eles também são fracos.,Eles também são fracos.,1.0,retime,1,1,-0.136,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[16],[19],"00:01:13,279","00:01:15,919","00:01:15,357","00:01:16,035",73.279,75.919,75.357,76.035,Beleza.,Beleza.,1.0,retime,1,1,2.078,0.116,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,"[17, 18]","[20, 21]","00:01:28,319","00:01:49,279","00:01:30,912","00:01:48,934",88.319,109.279,90.912,108.934,Como isso é possível? O Rei Vampiro é quase invencível.,Como isso é possível? O Rei Vampiro é quase invencível.,1.0,resegment,2,2,2.593,-0.345,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[19],[22],"00:01:49,279","00:01:52,760","00:01:49,279","00:01:52,760",109.279,112.76,109.279,112.76,E esse garoto derrotou ele em segundos.,E esse garoto derrotou ele em segundos.,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[20],[23],"00:01:52,760","00:01:54,279","00:01:52,760","00:01:54,279",112.76,114.279,112.76,114.279,Não é páreo nem pra mim.,Não é páreo nem pra mim.,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[21],[24],"00:01:54,279","00:01:55,480","00:01:54,279","00:01:55,480",114.279,115.48,114.279,115.48,Devia ser bem fraco.,Devia ser bem fraco.,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[22],[25],"00:01:55,480","00:02:01,760","00:01:57,986","00:02:00,720",115.48,121.76,117.986,120.72,"Senhor, quem é você?","Senhor, quem é você?",1.0,retime,1,1,2.506,-1.04,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[23],[26],"00:02:01,760","00:02:05,559","00:02:01,760","00:02:05,559",121.76,125.559,121.76,125.559,Você deve ser o lobisomem mais forte da história.,Você deve ser o lobisomem mais forte da história.,1.0,keep,1,1,0.0,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[24],[27],"00:02:05,559","00:02:06,559","00:02:05,761","00:02:06,559",125.559,126.559,125.761,126.559,Forte?,Forte?,1.0,retime,1,1,0.202,0.0,vertical_shortform,pt-BR
novela001__episode_0001,novela001,episode_0001,[25],[28],"00:02:06,559","00:02:11,960","00:02:07,650","00:02:11,717",126.559,131.96,127.65,131.717,Eu só derrotei um vampiro fracote.,Eu só derrotei um vampiro fracote.,1.0,retime,1,1,1.091,-0.243,vertical_shortform,pt-BR
